year,month,day,time,duration,MW,customers,Earthquake,Tornado,Hurricane or Tropical Storm,Ice storm,Lightning,Wind/rain,Other cold weather,Fire,Intentional attack,Supply shortage,Other external cause,Equipment failure,Operator error,Voltage reduction,Volunteer reduction,West,Northeast,Midwest,Southeast,ERCOT,Hawaii,Puerto Rico,Same as prev.
1985,3,3,18.00,44.00,200.0,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1985,3,11,10.82,0.67,170.0,30000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1985,3,17,8.10,0.00,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1985,3,20,0.00,1.00,0.0,4600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1985,3,26,4.40,1.37,255.0,170000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1985,4,3,0.00,0.32,80.0,29000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1985,4,6,2.38,5.85,214.0,55600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1985,4,29,12.72,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1985,5,1,0.00,0.00,650.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1985,5,3,0.00,0.00,90.0,90000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1985,5,17,11.78,3.55,4300.0,1500000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1985,5,31,0.00,3.63,1900.0,576000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1985,7,2,15.62,0.53,394.0,145000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1985,7,2,2.17,3.05,200.0,40000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1985,7,6,16.13,1.38,300.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1985,7,6,18.12,7.88,1400.0,300000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1985,7,8,10.53,3.52,78.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1985,7,25,13.58,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1985,7,30,8.93,1.13,90.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1985,9,2,0.00,120.00,760.0,461260,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1985,9,27,0.00,72.00,0.0,2991139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1985,11,21,17.25,28.75,0.0,17000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1986,1,5,22.00,20.00,150.0,25000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1986,4,3,12.40,1.17,1500.0,356856,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1986,5,5,8.65,1.03,400.0,200000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1986,5,13,20.03,3.43,600.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1986,5,15,20.37,3.25,100.0,32000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1986,5,22,11.75,0.17,1000.0,345000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
1986,6,4,7.18,1.68,91.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1986,6,6,18.50,1.82,175.0,31000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1986,6,7,9.40,1.03,120.0,31000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1986,6,16,0.00,3.97,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1986,6,22,18.02,7.12,158.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1986,7,8,2.33,4.72,110.0,88500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1986,7,17,0.00,0.00,20.0,30000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1986,7,28,0.00,0.00,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1986,8,12,13.92,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1986,8,17,14.00,72.00,500.0,187000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1986,10,16,17.03,0.90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1986,10,27,12.10,0.90,200.0,550,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
